t_s,bending_avg_y_mm,torsion_diff_y_mm
4.918536387,3.075559,-3.337959
4.935203053,3.078878,-3.39988
4.95186972,2.811662,-3.158892
4.968536387,2.180986,-2.561932
4.985203053,1.426247,-1.78603
5.00186972,0.511488,-0.818333
5.018536387,-0.322415,0.10026
5.035203053,-1.190344,1.084276
5.05186972,-1.858717,1.917137
5.068536387,-2.26327,2.511154
5.085203053,-2.408735,2.862792
5.10186972,-2.248885,2.900949
5.118536387,-1.838311,2.668833
5.135203053,-1.180088,2.144012
5.15186972,-0.354242,1.398608
5.168536387,0.542966,0.516112
5.185203053,1.415277,-0.401104
5.20186972,2.07773,-1.166486
5.218536387,2.615481,-1.855791
5.235203053,2.960096,-2.388591
5.25186972,2.939787,-2.58332
5.268536387,2.601129,-2.500597
5.285203053,2.00871,-2.13357
5.30186972,1.173991,-1.531545
5.318536387,0.249426,-0.788262
5.335203053,-0.763595,0.09119
5.35186972,-1.730019,0.969413
5.368536387,-2.523258,1.739038
5.385203053,-3.105415,2.363895
5.40186972,-3.394594,2.734674
5.418536387,-3.360934,2.817064
5.435203053,-3.005134,2.604974
5.45186972,-2.355537,2.119047
5.468536387,-1.484854,1.400236
5.485203053,-0.50802,0.555768
5.50186972,0.571764,-0.417188
5.518536387,1.55006,-1.321489
5.535203053,2.388942,-2.127793
5.55186972,2.962992,-2.707147
5.568536387,3.230278,-3.01787
5.585203053,3.16702,-3.035074
5.60186972,2.817238,-2.721564
5.618536387,2.17378,-2.163274
5.635203053,1.298754,-1.38692
5.65186972,0.327549,-0.467919
5.668536387,-0.655417,0.458531
5.685203053,-1.559538,1.346668
5.70186972,-2.302576,2.113598
5.718536387,-2.756694,2.62141
5.735203053,-2.954969,2.916327
5.75186972,-2.779868,2.866118
5.768536387,-2.285125,2.516561
5.785203053,-1.512936,1.879726
5.80186972,-0.569096,1.047926
5.818536387,0.471723,0.100607
5.835203053,1.511556,-0.891451
5.85186972,2.465586,-1.811237
5.868536387,3.1886,-2.553074
5.885203053,3.64499,-3.041664
5.90186972,3.772373,-3.211448
5.918536387,3.56896,-3.077798
5.935203053,3.037302,-2.57926
5.95186972,2.347875,-1.965183
5.968536387,1.323593,-0.973363
5.985203053,0.269187,0.041952
6.00186972,-0.811384,1.062939
6.018536387,-1.746577,1.96895
6.035203053,-2.479555,2.692072
6.05186972,-2.958165,3.187746
6.068536387,-3.116942,3.384309
6.085203053,-2.945692,3.2521
6.10186972,-2.451076,2.79017
6.118536387,-1.729935,2.082179
6.135203053,-0.828985,1.157528
6.15186972,0.162535,0.093598
6.168536387,1.083166,-0.921818
6.185203053,1.836232,-1.783856
6.20186972,2.517352,-2.593014
6.218536387,2.877042,-3.073848
6.235203053,2.925706,-3.237625
6.25186972,2.672249,-3.032394
6.268536387,2.19333,-2.598122
6.285203053,1.464065,-1.888351
6.30186972,0.564004,-0.961962
6.318536387,-0.316796,-0.016641
6.335203053,-1.171468,0.91524
6.35186972,-1.879089,1.740641
6.368536387,-2.363616,2.405738
6.385203053,-2.579797,2.789352
6.40186972,-2.490406,2.886384
6.418536387,-2.11237,2.682606
6.435203053,-1.489808,2.206648
6.45186972,-0.7726,1.60114
6.468536387,0.129093,0.73769
6.485203053,1.083564,-0.242229
6.50186972,1.888467,-1.135892
6.518536387,2.398326,-1.775323
6.535203053,2.78152,-2.346142
6.55186972,2.836592,-2.60939
6.568536387,2.562981,-2.536586
6.585203053,2.0584,-2.249788
6.60186972,1.298692,-1.697238
6.618536387,0.30223,-0.88313
6.635203053,-0.679069,-0.019529
6.65186972,-1.641052,0.848506
6.668536387,-2.396709,1.599851
6.685203053,-3.008551,2.21311
6.70186972,-3.416216,2.689661
6.718536387,-3.440175,2.842266
6.735203053,-3.140384,2.698816
6.75186972,-2.549741,2.273394
6.768536387,-1.696164,1.593661
6.785203053,-0.700224,0.738859
6.80186972,0.35001,-0.211335
6.818536387,1.347775,-1.147687
6.835203053,2.177352,-1.960333
6.85186972,2.790417,-2.603028
6.868536387,3.092002,-2.963142
6.885203053,3.066293,-3.006186
6.90186972,2.719088,-2.766169
6.918536387,2.100422,-2.246568
6.935203053,1.230265,-1.48595
6.95186972,0.217878,-0.547678
6.968536387,-0.818817,0.443434
6.985203053,-1.78416,1.364308
7.00186972,-2.596794,2.145656
7.018536387,-3.171089,2.760027
7.035203053,-3.439852,3.067078
7.05186972,-3.355621,3.039992
7.068536387,-2.932064,2.688991
7.085203053,-2.200645,2.040935
7.10186972,-1.290416,1.23337
7.118536387,-0.18581,0.241046
7.135203053,0.94952,-0.80616
7.15186972,1.973573,-1.759796
7.168536387,2.852504,-2.58332
7.185203053,3.433871,-3.128612
7.20186972,3.72051,-3.390688
7.218536387,3.67107,-3.324634
7.235203053,3.300116,-2.934071
7.25186972,2.64697,-2.292184
7.268536387,1.85428,-1.488625
7.285203053,0.864662,-0.486228
7.30186972,-0.176698,0.584035
7.318536387,-1.088416,1.541262
7.335203053,-1.870616,2.366725
7.35186972,-2.401936,2.969024
7.368536387,-2.643093,3.279723
7.385203053,-2.582294,3.276318
7.40186972,-2.241092,2.968928
7.418536387,-1.665005,2.402568
7.435203053,-0.851606,1.569491
7.45186972,0.009342,0.636726
7.468536387,0.830774,-0.306824
7.485203053,1.552064,-1.184887
7.50186972,2.089677,-1.928548
