t_s,x_w,y_w,z_w,qx,qy,qz,qw
1.829813878,-0.000731639,-0.007142701,1.783376818,-0.053141837,0.006988616,-0.024935708,0.998251128
1.846480544,-0.000734003,-0.007006508,1.782254071,-0.023934826,0.01801615,-0.024648021,0.999247225
1.863147211,-0.000730224,-0.006605745,1.778497368,-0.010340604,0.034685932,-0.023214986,0.999075083
1.879813878,-0.000723794,-0.005978903,1.7730698,-0.006845036,0.053519611,-0.020800917,0.998326659
1.896480544,-0.000722641,-0.00464159,1.76674245,-0.00505636,0.068993535,-0.015300892,0.997486946
1.913147211,-0.00073526,-0.003417152,1.76478644,-0.006126343,0.073271108,-0.010218956,0.997240886
1.929813878,-0.00076131,-0.002136554,1.765659007,-0.008306022,0.071363704,-0.004744323,0.997404493
1.946480544,-0.000803998,-0.000942934,1.769555163,-0.007872464,0.062776324,0.000635555,0.997996369
1.963147211,-0.000848418,-2.1479e-05,1.775821042,-0.009733778,0.045403184,0.004761334,0.998909973
1.979813878,-0.000880027,0.000556466,1.78138561,-0.023769011,0.021549485,0.007550915,0.999456671
1.996480544,-0.000893536,0.000735112,1.783539275,-0.049124716,0.007064318,0.008680684,0.998729945
2.013147211,-0.000884784,0.000497317,1.783776824,-0.070805858,0.004872947,0.008001603,0.997446118
2.029813878,-0.000854067,-0.000113143,1.783592038,-0.085497507,0.004452744,0.005699757,0.996312131
2.046480544,-0.000811872,-0.001040406,1.78364105,-0.094196828,0.002766733,0.002193758,0.995547332
2.063147211,-0.000771801,-0.002214996,1.783824257,-0.098803029,0.000978538,-0.002433586,0.995103553
2.079813878,-0.000740933,-0.003461622,1.783569863,-0.100471552,0.002475548,-0.007673092,0.994907263
2.096480544,-0.000724124,-0.004686839,1.783404914,-0.097699096,0.002765118,-0.012887123,0.995128717
2.113147211,-0.000722276,-0.005780556,1.783277072,-0.09101726,0.002168657,-0.017544984,0.995692387
2.129813878,-0.000728702,-0.006600848,1.783133409,-0.080899913,0.003613494,-0.021333953,0.996487335
2.146480544,-0.000737382,-0.007080029,1.782936136,-0.064468187,0.005659968,-0.023933932,0.997616652
2.163147211,-0.000741284,-0.007147356,1.782675236,-0.040908031,0.010607297,-0.024878937,0.998796805
2.179813878,-0.000736979,-0.006797431,1.779501316,-0.018509457,0.028898763,-0.024089955,0.999120581
2.196480544,-0.000726385,-0.006024487,1.773048639,-0.006955626,0.052980184,-0.021476561,0.998340361
2.213147211,-0.000716752,-0.004912749,1.767282213,-0.005210046,0.067117823,-0.017510623,0.997577782
2.229813878,-0.000715995,-0.003616416,1.763721577,-0.005133264,0.074406535,-0.012522507,0.997136151
2.246480544,-0.000731971,-0.002250204,1.762889764,-0.006316143,0.075836622,-0.007035153,0.997075433
2.263147211,-0.000765135,-0.000957218,1.76517636,-0.007841265,0.071822671,-0.001733337,0.997385088
2.279813878,-0.000810158,0.00018484,1.770649029,-0.006916162,0.060183075,0.003085979,0.998158625
2.296480544,-0.000852183,0.001015068,1.778160119,-0.011181646,0.035808075,0.006706099,0.999273627
2.313147211,-0.000876895,0.001438524,1.782687451,-0.034208407,0.012877391,0.008656094,0.999294266
2.329813878,-0.000881725,0.001425779,1.783478622,-0.061815335,0.004460563,0.00883954,0.998038491
2.346480544,-0.000866843,0.000995189,1.783740297,-0.079382431,0.002448874,0.007438761,0.996813472
2.363147211,-0.000831949,0.00017655,1.783877221,-0.091800117,0.001936618,0.004401988,0.995765841
2.379813878,-0.000788535,-0.000916372,1.783688374,-0.099305398,0.00246295,0.000121118,0.995053947
2.396480544,-0.000751849,-0.002198286,1.783497816,-0.102738205,0.001926887,-0.004874546,0.99469462
2.413147211,-0.000727283,-0.003547686,1.783374445,-0.102946228,0.001822835,-0.01008361,0.99463414
2.429813878,-0.000715652,-0.004848006,1.783367289,-0.098896023,0.002167399,-0.015205118,0.994979238
2.446480544,-0.00071848,-0.005943253,1.783260904,-0.091082371,0.002915682,-0.019610667,0.995645982
2.463147211,-0.000727867,-0.006725907,1.783382446,-0.078518235,0.003188138,-0.022828556,0.996646166
2.479813878,-0.000734492,-0.007169573,1.783542673,-0.061113834,0.004247182,-0.024641164,0.997817555
