frame_idx,timestamp_s,x_w,y_w,z_w,qx,qy,qz,qw,reproj_err
75,1.261867306,-0.0006428,-0.00153551,1.74000711,-0.04886845,-0.0601297,-0.00913415,0.99695179,0.150842
76,1.285809431,-0.00064144,-0.00146886,1.73974393,-0.04294829,-0.06125166,-0.00948677,0.99715279,0.174129
77,1.303450492,-0.00063974,-0.00131918,1.73988308,-0.03457679,-0.06138285,-0.00985855,0.99746649,0.245617
78,1.314051399,-0.00063769,-0.00109072,1.73842321,-0.0437481,-0.06432832,-0.00919293,0.99692701,0.172508
79,1.328380289,-0.00063141,-0.00079302,1.73642132,-0.04228502,-0.0687353,-0.00911434,0.99669673,0.218961
80,1.345588662,-0.00062731,-0.00042986,1.73522261,-0.04215673,-0.07121386,-0.00915712,0.99652774,0.138074
81,1.361730236,-0.00062325,3.11e-06,1.7356691,-0.03888637,-0.07081041,-0.00925133,0.99668859,0.222483
82,1.378567918,-0.00061533,0.00046776,1.73558873,-0.03550929,-0.0718309,-0.00938937,0.99674031,0.262347
83,1.395377922,-0.0006006,0.00097498,1.73408696,-0.03618021,-0.07592213,-0.00939403,0.99641285,0.261035
84,1.411634958,-0.00058891,0.00151551,1.73467227,-0.03610262,-0.07518034,-0.00955922,0.99647034,0.194699
85,1.42826838,-0.00059365,0.0020712,1.73367154,0.03446825,0.07704789,-0.00978144,0.9963834,0.2511
86,1.445226642,-0.00056085,0.00260938,1.73373976,-0.04006423,-0.07691631,-0.00968628,0.99618518,0.143791
87,1.462058454,-0.00054398,0.00313979,1.7332063,-0.03973798,-0.07715313,-0.01004757,0.99617636,0.211269
88,1.478522753,-0.00052452,0.00365134,1.73379215,-0.04210807,-0.07443503,-0.01006679,0.9962856,0.259615
89,1.495334348,-0.00050659,0.00412212,1.73438506,-0.04366871,-0.07163173,-0.00980555,0.99642651,0.093142
90,1.511713518,-0.00048711,0.00455721,1.73529605,-0.0425038,-0.06802191,-0.00967508,0.99673108,0.037465
91,1.528416731,-0.00047325,0.00491897,1.7357293,-0.04282166,-0.06673177,-0.0095759,0.99680564,0.096154
92,1.545347734,-0.00045703,0.0052254,1.73616373,-0.04425834,-0.06606545,-0.00914432,0.99679132,0.141957
93,1.562293262,-0.00045607,0.0054677,1.73884998,0.03789056,0.06189337,-0.00972461,0.99731587,0.270567
94,1.578424327,-0.00043394,0.00560204,1.73969163,-0.04754807,-0.0608999,-0.00906123,0.99696955,0.216397
95,1.59521131,-0.0004309,0.0056692,1.74123743,-0.04546251,-0.05738453,-0.00936524,0.99727251,0.208199
96,1.611731551,-0.000431,0.00565437,1.74131008,-0.05127066,-0.0574234,-0.00905586,0.99699141,0.196196
97,1.628331608,-0.00043124,0.00556556,1.74351821,-0.05217963,-0.05181126,-0.00923496,0.99725002,0.207686
98,1.645143687,-0.00043925,0.00539321,1.74522061,-0.04981901,-0.04599435,-0.00951759,0.99765325,0.349524
99,1.662584817,-0.00044898,0.00514006,1.74587461,-0.05645573,-0.04272983,-0.00941873,0.99744584,0.206589
100,1.685524842,-0.00046319,0.00480425,1.74483074,-0.06164034,-0.04519502,-0.00917002,0.99703249,0.07254
101,1.695704907,-0.00047776,0.00441547,1.74463105,-0.06392189,-0.04338958,-0.009369,0.99696718,0.146881
102,1.712419058,-0.00049379,0.00397238,1.74575466,-0.065021,-0.040855,-0.00969631,0.99700006,0.133664
103,1.728872882,-0.00052676,0.0034968,1.74539009,0.06702938,0.04339726,-0.00972099,0.99675937,0.171246
104,1.745106352,-0.00053865,0.00296941,1.74475658,-0.06928061,-0.04892192,-0.00947887,0.99635184,0.07207
105,1.762363493,-0.0005618,0.00243469,1.74731902,-0.06696457,-0.04409476,-0.00976223,0.99673271,0.079232
106,1.778523136,-0.00057826,0.00188743,1.746888,-0.06612711,-0.04633555,-0.00937198,0.99669072,0.096938
107,1.795151127,-0.00059283,0.00133954,1.7486433,-0.06303432,-0.04097653,-0.00970353,0.99712258,0.161857
108,1.812788274,-0.00060207,0.0008092,1.74711147,-0.06357384,-0.04510129,-0.00922139,0.99691484,0.220658
109,1.828901965,-0.00061255,0.00031891,1.74698505,-0.06176604,-0.04492204,-0.00921236,0.99703666,0.250677
110,1.845494585,-0.00062285,-0.00013985,1.74705756,-0.06036695,-0.04374057,-0.00923518,0.99717466,0.233392
111,1.862006477,-0.00062702,-0.00056442,1.74613516,-0.06069191,-0.04624045,-0.00918674,0.99704259,0.205004
112,1.878861615,-0.00063528,-0.00091595,1.74529577,-0.05467504,-0.04863306,-0.0093283,0.99727551,0.205719
113,1.902497528,-0.00064116,-0.00119485,1.74415136,-0.05607384,-0.05165855,-0.00909447,0.99704785,0.18813
114,1.913389287,-0.00063964,-0.00141002,1.74331007,-0.04990327,-0.05322883,-0.00936159,0.99729069,0.170963
115,1.928850157,-0.00063887,-0.00154357,1.7414519,-0.05087407,-0.05819482,-0.00895538,0.9969679,0.193269
116,1.945494833,-0.00064142,-0.00158518,1.74166492,-0.04766585,-0.05725708,-0.00929135,0.99717765,0.158767
117,1.962185163,-0.00064041,-0.00155481,1.73996999,-0.04725702,-0.06102309,-0.00896756,0.9969767,0.231683
118,1.978926032,-0.00063793,-0.0014352,1.73943941,-0.04265852,-0.06274915,-0.0092361,0.99707446,0.186761
119,1.995200718,-0.00063871,-0.00124152,1.73855411,-0.04238272,-0.06421817,-0.00920448,0.99699298,0.249855
120,2.012144838,-0.00063812,-0.00097026,1.73770982,-0.03660674,-0.06625982,-0.00958577,0.9970846,0.244686
121,2.032785004,-0.00063521,-0.00062734,1.73737745,-0.03622116,-0.06691178,-0.00955007,0.99705548,0.175876
122,2.045436859,-0.00064249,-0.00021027,1.73563658,0.03577848,0.07050428,-0.00955986,0.99682378,0.293642
123,2.062091184,-0.00063575,0.00024643,1.73560385,0.03523604,0.07109931,-0.00960197,0.99680044,0.295684
