t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
2.755528,0.378579,0.250467,0.379000,0.250719
2.772195,0.307208,0.274767,0.307818,0.276087
2.788862,0.242581,0.322986,0.242659,0.323167
2.805528,0.175291,0.376464,0.174997,0.376709
2.822195,0.097095,0.432482,0.097205,0.432831
2.838862,0.013737,0.486474,0.013536,0.485345
2.855528,-0.080806,0.506720,-0.080924,0.506629
2.872195,-0.184204,0.510363,-0.184463,0.509567
2.888862,-0.296594,0.487867,-0.296554,0.488668
2.905528,-0.409286,0.472144,-0.408900,0.472883
2.922195,-0.512926,0.463447,-0.513129,0.463821
2.938862,-0.615527,0.452327,-0.615564,0.451520
2.955528,-0.711641,0.412980,-0.711875,0.412806
2.972195,-0.801469,0.353543,-0.801338,0.353610
2.988862,-0.874525,0.278218,-0.874394,0.277446
3.005528,-0.926763,0.175726,-0.926997,0.175081
3.022195,-0.961468,0.055273,-0.960613,0.056592
3.038862,-0.957807,-0.040826,-0.957954,-0.040366
3.055528,-0.934291,-0.124413,-0.934451,-0.124173
3.072195,-0.893113,-0.201058,-0.892939,-0.201199
3.088862,-0.830082,-0.281724,-0.830593,-0.282293
3.105528,-0.757548,-0.376524,-0.757855,-0.377233
3.122195,-0.670305,-0.486830,-0.669613,-0.486298
3.138862,-0.548684,-0.586121,-0.548497,-0.586529
3.155528,-0.401212,-0.685331,-0.401547,-0.685116
3.172195,-0.238600,-0.768332,-0.238064,-0.767348
3.188862,-0.048063,-0.818328,-0.048137,-0.819281
3.205528,0.155644,-0.868252,0.155719,-0.867980
3.222195,0.369778,-0.895390,0.370244,-0.894783
3.238862,0.595046,-0.892757,0.594015,-0.893945
3.255528,0.798898,-0.890095,0.799478,-0.890126
3.272195,1.004697,-0.862246,1.005043,-0.861977
3.288862,1.202652,-0.797899,1.202204,-0.797322
3.305528,1.372414,-0.687435,1.372371,-0.686886
3.322195,1.514878,-0.532021,1.515255,-0.531540
3.338862,1.630614,-0.338850,1.631201,-0.338698
3.355528,1.715421,-0.122672,1.714029,-0.124020
3.372195,1.726737,0.082192,1.726718,0.082143
3.388862,1.685242,0.295101,1.684938,0.295531
3.405528,1.585874,0.522839,1.586170,0.523305
3.422195,1.441088,0.761646,1.441111,0.762923
3.438862,1.247939,1.015592,1.247451,1.015290
3.455528,1.000529,1.241579,0.999977,1.240558
3.472195,0.703816,1.411600,0.703881,1.411807
3.488862,0.378346,1.536025,0.378045,1.535085
3.505528,0.029137,1.588442,0.029709,1.587739
3.522195,-0.316465,1.573421,-0.316784,1.572943
3.538862,-0.663245,1.501180,-0.663030,1.501566
3.555528,-0.991804,1.395151,-0.991258,1.396870
3.572195,-1.288106,1.283534,-1.288328,1.283037
